TOPchampId,TOPkeyRune,TOPspell1,TOPspell2,JNGchampId,JNGkeyRune,JNGspell1,JNGspell2,MIDchampId,MIDkeyRune,MIDspell1,MIDspell2,ADCchampId,ADCkeyRune,ADCspell1,ADCspell2,SUPchampId,SUPkeyRune,SUPspell1,SUPspell2
19,2,4,6,25,4,4,9,68,8,4,0,21,2,4,7,86,14,4,5
43,2,4,0,129,0,4,9,117,7,4,5,47,0,4,7,27,4,4,5
15,0,4,0,129,0,4,9,52,4,4,5,66,8,4,0,10,4,4,5
43,2,4,0,56,4,4,9,106,9,4,0,66,8,4,0,10,16,4,5
19,13,4,0,79,1,4,9,117,9,4,0,71,8,4,7,88,7,4,5
43,2,4,0,4,4,4,9,66,8,4,2,26,11,4,0,12,7,4,5
120,14,4,0,54,6,4,9,60,4,4,5,12,7,4,5,105,7,4,7
31,13,4,0,118,0,4,9,60,4,4,5,29,4,4,0,10,4,4,5
87,4,4,5,132,9,4,9,60,4,4,5,12,7,4,5,11,14,4,5
32,13,4,0,35,3,4,9,106,4,4,5,86,4,4,5,12,8,4,5
0,2,4,0,25,4,4,9,137,8,4,0,21,2,4,7,10,4,4,5
22,2,4,0,72,4,4,9,68,8,4,0,122,3,4,7,13,14,4,5
133,2,4,0,61,4,4,9,99,0,4,5,64,0,4,7,113,14,4,5
19,2,4,0,97,4,5,9,137,8,4,2,21,2,4,7,65,7,4,5
100,7,4,0,118,0,4,9,20,4,4,0,64,0,4,0,11,14,4,5
116,2,4,5,15,0,4,9,127,4,4,5,46,3,4,7,12,8,4,5
22,13,4,0,132,9,4,9,139,7,4,5,64,0,4,7,66,8,4,5
85,13,4,0,78,4,4,9,52,4,4,5,47,3,4,0,113,14,4,5
43,2,4,0,92,4,4,9,117,8,4,5,26,11,4,7,10,7,4,5
19,2,4,5,70,2,4,9,127,4,4,5,64,0,4,7,75,7,4,1
5,8,4,0,97,4,5,9,133,2,4,1,46,3,4,7,41,7,4,5
120,14,4,0,57,0,4,9,139,7,4,5,46,3,4,7,41,7,4,5
116,2,4,5,79,1,4,9,117,8,4,5,26,11,4,7,12,8,4,5
116,2,4,0,109,4,4,9,82,8,4,7,64,0,4,7,11,12,4,5
0,2,4,0,57,0,4,9,55,7,4,8,47,3,4,7,66,7,4,5
33,1,4,0,96,3,4,9,110,4,4,5,14,3,4,7,74,7,4,5
133,2,4,0,92,6,4,9,93,2,4,5,26,11,4,0,113,10,4,5
91,2,4,0,78,4,4,9,55,4,4,0,29,7,4,5,105,7,4,7
91,2,4,0,25,4,4,9,52,4,4,5,14,3,4,7,12,8,4,5
83,13,4,0,97,4,5,9,64,0,4,7,12,8,4,0,27,14,4,5
17,13,4,0,78,4,4,9,29,4,4,5,47,3,4,7,105,7,4,1
32,9,4,5,15,6,4,9,137,8,4,2,26,11,4,7,66,8,4,5
19,13,4,5,36,5,6,9,133,2,4,2,47,0,4,7,105,7,4,2
127,12,4,5,78,4,4,9,66,8,4,7,45,3,4,7,113,14,4,1
91,2,4,0,92,3,4,9,60,4,4,5,21,2,4,7,49,7,4,5
116,2,4,5,36,5,6,9,37,8,4,5,47,3,4,7,27,7,4,5
23,8,4,0,43,0,4,9,55,4,4,5,47,3,4,7,104,7,4,5
